"id","stratum","D-loop"
"Scan123e","Scandinavia","Scan123e"
"Scan123f","Scandinavia","Scan123f"
"Scan124a","Scandinavia","Scan124a"
"Scan124b","Scandinavia","Scan124b"
"Scan124c","Scandinavia","Scan124c"
"Scan124d","Scandinavia","Scan124d"
"Scan124e","Scandinavia","Scan124e"
"Scan125a","Scandinavia","Scan125a"
"Scan125b","Scandinavia","Scan125b"
"Scan125c","Scandinavia","Scan125c"
"Tesh683","Teshekpuk","Tesh683"
"Tesh684c","Teshekpuk","Tesh684c"
"Tesh684d","Teshekpuk","Tesh684d"
"Tesh684e","Teshekpuk","Tesh684e"
"Tesh685","Teshekpuk","Tesh685"
"Tesh686","Teshekpuk","Tesh686"
"Tesh694","Teshekpuk","Tesh694"
"Tesh698","Teshekpuk","Tesh698"
"Tesh708","Teshekpuk","Tesh708"
"Tesh716a","Teshekpuk","Tesh716a"
"Tesh716b","Teshekpuk","Tesh716b"
"Tesh716c","Teshekpuk","Tesh716c"
"VaOr677a","Val_d'Or","VaOr677a"
"VaOr677b","Val_d'Or","VaOr677b"
"VaOr677c","Val_d'Or","VaOr677c"
"VaOr678a","Val_d'Or","VaOr678a"
"VaOr678b","Val_d'Or","VaOr678b"
"VaOr678c","Val_d'Or","VaOr678c"
"WAH454","WesternArctic","WAH454"
"WesA683a","Western_Arctic","WesA683a"
"WesA683b","Western_Arctic","WesA683b"
"WesA683c","Western_Arctic","WesA683c"
"WesA683d","Western_Arctic","WesA683d"
"WesA683e","Western_Arctic","WesA683e"
"WesA684","Western_Arctic","WesA684"
"WesA686a","Western_Arctic","WesA686a"
"WesA686b","Western_Arctic","WesA686b"
"WesA687","Western_Arctic","WesA687"
"WesA689","Western_Arctic","WesA689"
"WesA700","Western_Arctic","WesA700"
"WesA702","Western_Arctic","WesA702"
"WesA704","Western_Arctic","WesA704"
"WesA719","Western_Arctic","WesA719"
"WesA725","Western_Arctic","WesA725"
"WesA726","Western_Arctic","WesA726"
"WesA727","Western_Arctic","WesA727"
"WesA730","Western_Arctic","WesA730"
"WMC_106513","White-Mountain","WMC_106513"
"WMC_107110","White-Mountain","WMC_107110"
